GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ProyectoCalidad,com.ikea.app.server.jdo,CestaJDO,0,59,0,0,0,18,0,9,0,9
ProyectoCalidad,com.ikea.app.server.jdo,ClienteJDO,0,57,0,0,0,18,0,8,0,8
ProyectoCalidad,com.ikea.app.server.jdo,AdminJDO,0,57,0,0,0,19,0,9,0,9
ProyectoCalidad,com.ikea.app.server.jdo,ProductoJDO,0,75,0,0,0,23,0,10,0,10
ProyectoCalidad,com.ikea.app.client.controller,ProductListAdminController.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
ProyectoCalidad,com.ikea.app.client.controller,ModificarUsuarioController,52,0,2,0,13,0,3,0,2,0
ProyectoCalidad,com.ikea.app.client.controller,ConfirmacionEliminarWindowController,127,0,6,0,26,0,5,0,2,0
ProyectoCalidad,com.ikea.app.client.controller,AnadirProductoController,110,0,4,0,25,0,4,0,2,0
ProyectoCalidad,com.ikea.app.client.controller,ClientRegistrationController,51,0,2,0,13,0,3,0,2,0
ProyectoCalidad,com.ikea.app.client.controller,ProductListController,158,0,6,0,34,0,7,0,4,0
ProyectoCalidad,com.ikea.app.client.controller,ProductListAdminController,70,0,2,0,15,0,3,0,2,0
ProyectoCalidad,com.ikea.app.client.controller,ClientLoginController,56,0,2,0,14,0,3,0,2,0
ProyectoCalidad,com.ikea.app.client.controller,ProductListController.new GenericType() {...},6,0,0,0,1,0,1,0,1,0
ProyectoCalidad,com.ikea.app.client.controller,AdminLoginController,8,45,1,1,2,11,1,2,0,2
ProyectoCalidad,com.ikea.app.client.controller,CestaWindowController,0,77,0,4,0,18,0,5,0,3
ProyectoCalidad,com.ikea.app.client,Pruebas,383,0,4,0,59,0,4,0,2,0
ProyectoCalidad,com.ikea.app.client,ClientMain,53,5,2,0,12,2,3,2,2,2
ProyectoCalidad,com.ikea.app.pojo,Admin,0,45,0,0,0,15,0,9,0,9
ProyectoCalidad,com.ikea.app.pojo,Cesta,0,50,0,0,0,15,0,8,0,8
ProyectoCalidad,com.ikea.app.pojo,Cliente,0,39,0,0,0,12,0,8,0,8
ProyectoCalidad,com.ikea.app.pojo,Producto,0,70,0,0,0,19,0,12,0,12
ProyectoCalidad,com.ikea.app.client.window,CestaWindow.new ActionListener() {...},71,0,2,0,9,0,3,0,2,0
ProyectoCalidad,com.ikea.app.client.window,MenuClienteWindow.new ActionListener() {...},38,0,0,0,4,0,2,0,2,0
ProyectoCalidad,com.ikea.app.client.window,MenuClienteWindow.new ActionListener() {...},28,0,0,0,4,0,2,0,2,0
ProyectoCalidad,com.ikea.app.client.window,MenuPrincipalWindow.new ActionListener() {...},21,0,0,0,4,0,2,0,2,0
ProyectoCalidad,com.ikea.app.client.window,MenuPrincipalWindow.new ActionListener() {...},29,0,0,0,5,0,2,0,2,0
